Name,Games,Rank
Cy Young,815,1
Nolan Ryan,773,2
Don Sutton,756,3
Greg Maddux,740,4
Phil Niekro,716,5
Steve Carlton,709,6
Roger Clemens,707,7
Tommy John,700,8
Gaylord Perry,690,9
Bert Blyleven,685,10
Tom Glavine,682,11
Pud Galvin,681,12
Walter Johnson,666,13
Warren Spahn,665,14
Tom Seaver,647,15
Jamie Moyer,628,16
Jim Kaat,625,17
Frank Tanana,616,18
Early Wynn,612,19
Robin Roberts,609,20
Randy Johnson,603,21
Grover Alexander,599,22
Fergie Jenkins,594,23
Tim Keefe,594,24
Dennis Martinez,562,25
Kid Nichols,561,26
CC Sabathia,560,27
Bartolo Colon,552,28
Eppa Rixey,552,29
Christy Mathewson,551,30
Mickey Welch,549,31
Jerry Reuss,547,32
Zack Greinke,541,33
Justin Verlander,537,34
Mike Mussina,536,35
Red Ruffing,536,36
Eddie Plank,529,37
Rick Reuschel,529,38
Jerry Koosman,527,39
Jack Morris,527,40
Jim Palmer,521,41
Andy Pettitte,521,42
Jim Bunning,519,43
John Clarkson,518,44
Jack Powell,516,45
Tony Mullane,504,46
Old Hoss Radbourn,503,47
Gus Weyhing,503,48
Joe Niekro,500,49
Bob Friend,497,50
Burleigh Grimes,497,51
Mickey Lolich,496,52
Mark Buehrle,493,53
David Wells,489,54
Claude Osteen,488,55
Sad Sam Jones,487,56
Jim McCormick,485,57
Bob Feller,484,58
Ted Lyons,484,59
Luis Tiant,484,60
Red Faber,483,61
Bobo Newsom,483,62
Bob Gibson,482,63
John Smoltz,481,64
Tim Hudson,479,65
Kevin Brown,476,66
Catfish Hunter,476,67
Livan Hernandez,474,68
Kenny Rogers,474,69
Vida Blue,473,70
Earl Whitehill,473,71
Vic Willis,471,72
Chuck Finley,467,73
Orel Hershiser,466,74
Don Drysdale,465,75
Milt Pappas,465,76
Doyle Alexander,464,77
Tim Wakefield,463,78
Bob Welch,462,79
Curt Simmons,461,80
Max Scherzer,458,81
Mike Torrez,458,82
Lefty Grove,457,83
Juan Marichal,457,84
Rick Wise,455,85
Jon Lester,451,86
Jim Perry,447,87
John Lackey,446,88
Paul Derringer,445,89
Jack Quinn,444,90
Kevin Millwood,443,91
Javier Vazquez,443,92
Charlie Hough,440,93
Mike Moore,440,94
Whitey Ford,438,95
Clayton Kershaw,436,96
Curt Schilling,436,97
Mel Harder,433,98
Billy Pierce,432,99
Carl Hubbell,431,100
A.J. Burnett,430,101
Larry Jackson,429,102
Mark Langston,428,103
George Mullin,428,104
Amos Rusie,427,105
Freddie Fitzsimmons,426,106
Fernando Valenzuela,424,107
John Burkett,423,108
Waite Hoyt,423,109
Bob Forsch,422,110
Cole Hamels,422,111
Barry Zito,421,112
Herb Pennock,420,113
Frank Viola,420,114
David Cone,419,115
Felix Hernández,418,116
Kyle Lohse,418,117
Jeff Suppan,417,118
Steve Trachsel,417,119
Bob Knepper,413,120
Dave Stieb,412,121
Mike Morgan,411,122
Adam Wainwright,411,123
Tom Candiotti,410,124
Dwight Gooden,410,125
Ken Holtzman,410,126
Pedro Martinez,409,127
Tom Zachary,409,128
Wilbur Cooper,408,129
Scott Sanderson,407,130
Lee Meadows,406,131
Adonis Terry,406,132
James Shields,405,133
Mike Flanagan,404,134
Camilo Pascual,404,135
Rube Marquard,403,136
Kevin Appier,402,137
Will White,401,138
Bucky Walters,398,139
Bobby Witt,397,140
Charlie Buffinton,396,141
Dave McNally,396,142
Jim Whitney,396,143
Al Orth,394,144
Charlie Morton,393,145
Steve Rogers,393,146
Paul Splittorff,392,147
Rick Sutcliffe,392,148
Bill Gullickson,390,149
Roy Halladay,390,150
Jimmy Key,389,151
Hooks Dauss,388,152
Chick Fraser,388,153
Jesse Haines,388,154
Andy Benes,387,155
Doug Drabek,387,156
Ervin Santana,386,157
Stan Coveleski,385,158
Larry French,384,159
Bronson Arroyo,383,160
Al Leiter,382,161
Jim Clancy,381,162
Aaron Harang,381,163
Joe McGinnity,381,164
Dan Haren,380,165
Rick Rhoden,380,166
Mike Cuellar,379,167
Randy Wolf,379,168
Bill Lee,378,169
Burt Hooton,377,170
Derek Lowe,377,171
Jake Peavy,377,172
Brad Radke,377,173
Dutch Leonard,375,174
Hal Newhouser,374,175
Tim Belcher,373,176
Lew Burdette,373,177
Clark Griffith,372,178
Danny Darwin,371,179
Silver King,371,180
Bret Saberhagen,371,181
Bob Buhl,369,182
Bill Doak,368,183
Kevin Gross,368,184
Jim Lonborg,368,185
George Uhle,368,186
Red Ames,367,187
Bullet Joe Bush,366,188
Johnny Cueto,365,189
Dolf Luque,365,190
Steve Renko,365,191
Ron Darling,364,192
Scott Erickson,364,193
Vern Law,364,194
Floyd Bannister,363,195
Doc White,363,196
Tommy Bridges,362,197
Eddie Cicotte,361,198
Dennis Eckersley,361,199
Rudy May,360,200
Jim Slaton,360,201
Bruce Hurst,359,202
Freddy Garcia,357,203
John Candelaria,356,204
Mel Stottlemyre,356,205
Babe Adams,355,206
Madison Bumgarner,355,207
Bump Hadley,355,208
Mike Hampton,355,209
Mike Krukow,355,210
Kevin Tapani,354,211
Brickyard Kennedy,353,212
Bill Dinneen,352,213
Aaron Sele,352,214
Ryan Dempster,351,215
Rick Porcello,351,216
Bob Lemon,350,217
Dave Stewart,348,218
Dazzy Vance,347,219
Bill Hutchison,346,220
Charlie Leibrandt,346,221
Sam McDowell,346,222
Pink Hawley,344,223
Pedro Astacio,343,224
José Quintana,343,225
Lon Warneke,343,226
Jon Garland,342,227
Theodore Breitenstein,341,228
Red Donahue,341,229
Roy Oswalt,341,230
Charlie Root,341,231
Aníbal Sánchez,341,232
Joe Coleman,340,233
Lance Lynn,340,234
Johnny Podres,340,235
Rube Waddell,340,236
Howard Ehmke,339,237
Todd Stottlemyre,339,238
Murry Dickson,338,239
Patrick Corbin,337,240
Kirk Rueter,336,241
Chief Bender,334,242
Esteban Loaiza,333,243
Mike McCormick,333,244
Bob Shawkey,333,245
Jack Stivetts,333,246
Ed Whitson,333,247
Josh Beckett,332,248
Mordecai Brown,332,249
Jack Chesbro,332,250
Danny MacFayden,332,251
Terry Mulholland,332,252
Dick Ruthven,332,253
Darryl Kile,331,254
Ted Lilly,331,255
Claude Passeau,331,256
Hippo Vaughn,331,257
Jered Weaver,331,258
Matt Cain,330,259
Ned Garver,330,260
Fritz Peterson,330,261
Woody Williams,330,262
Larry Dierker,329,263
Mark Gubicza,329,264
Hal Schumacher,329,265
Mark Baldwin,328,266
Kyle Gibson,328,267
Gio Gonzalez,328,268
J.A. Happ,328,269
Willis Hudlin,328,270
Ray Sadecki,328,271
Virgil Trucks,328,272
Stan Bahnsen,327,273
Bill Donovan,327,274
Jon Lieber,327,275
Earl Moore,326,276
Cliff Lee,325,277
Carl Mays,325,278
Danny Jackson,324,279
Wes Ferrell,323,280
Ron Guidry,323,281
John Denny,322,282
Woodie Fryman,322,283
Guy Hecker,322,284
David Price,322,285
Dizzy Trout,322,286
Bob Rush,321,287
Lefty Gomez,320,288
Art Nehf,319,289
